Repository,ReleaseId,TagName,ReleaseName,PublishedAt,PublishedAtKST,IsPreRelease,IsDraft,AuthorLogin,AuthorId,BodySnippet,AssetsCount,TotalDownloadCount,ReleaseUrl,Weekday,HourOfDay,IsWeekend,MajorVersion,MinorVersion,PatchVersion,ReleaseType
stackflow,168011203,@stackflow/plugin-history-sync@1.6.0,@stackflow/plugin-history-sync@1.6.0,2024-07-31T10:06:50Z,2024-08-01T04:06:50+09:00,FALSE,FALSE,github-actions[bot],41898282,"### Minor Changes

-   7df613a: Future API
-   e9bb029: feat(plugin-history-sync): sort routes by co",0,0,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-history-sync%401.6.0,Wednesday,19,FALSE,1,6,0,ScopedPackage
stackflow,168011199,@stackflow/plugin-google-analytics-4@1.1.13,@stackflow/plugin-google-analytics-4@1.1.13,2024-07-31T10:06:47Z,2024-08-01T04:06:47+09:00,FALSE,FALSE,github-actions[bot],41898282,"
",0,0,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-google-analytics-4%401.1.13,Wednesday,19,FALSE,1,1,13,ScopedPackage
stackflow,168011188,@stackflow/plugin-basic-ui@1.8.3,@stackflow/plugin-basic-ui@1.8.3,2024-07-31T10:06:44Z,2024-08-01T04:06:44+09:00,FALSE,FALSE,github-actions[bot],41898282,"
",0,0,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-basic-ui%401.8.3,Wednesday,19,FALSE,1,8,3,ScopedPackage
stackflow,168011177,@stackflow/link@1.4.3,@stackflow/link@1.4.3,2024-07-31T10:06:41Z,2024-08-01T04:06:41+09:00,FALSE,FALSE,github-actions[bot],41898282,"
",0,0,https://github.com/daangn/stackflow/releases/tag/%40stackflow/link%401.4.3,Wednesday,19,FALSE,1,4,3,ScopedPackage
stackflow,168011166,@stackflow/config@1.1.0,@stackflow/config@1.1.0,2024-07-31T10:06:38Z,2024-08-01T04:06:38+09:00,FALSE,FALSE,github-actions[bot],41898282,"### Minor Changes

-   7df613a: Stackflow Config and Loader API (2.0 Candidate API with `/future` na",0,0,https://github.com/daangn/stackflow/releases/tag/%40stackflow/config%401.1.0,Wednesday,19,FALSE,1,1,0,ScopedPackage
stackflow,168011156,@stackflow/compat-await-push@1.1.11,@stackflow/compat-await-push@1.1.11,2024-07-31T10:06:35Z,2024-08-01T04:06:35+09:00,FALSE,FALSE,github-actions[bot],41898282,"
",0,0,https://github.com/daangn/stackflow/releases/tag/%40stackflow/compat-await-push%401.1.11,Wednesday,19,FALSE,1,1,11,ScopedPackage
stackflow,167083853,@stackflow/react@1.1.11,@stackflow/react@1.1.11,2024-07-25T08:37:17Z,2024-07-26T02:37:17+09:00,FALSE,FALSE,github-actions[bot],41898282,"### Patch Changes

-   3e35026: chore: include declaration map
",0,0,https://github.com/daangn/stackflow/releases/tag/%40stackflow/react%401.1.11,Thursday,17,FALSE,1,1,11,ScopedPackage
stackflow,167083838,@stackflow/plugin-stack-depth-change@1.1.4,@stackflow/plugin-stack-depth-change@1.1.4,2024-07-25T08:37:11Z,2024-07-26T02:37:11+09:00,FALSE,FALSE,github-actions[bot],41898282,"### Patch Changes

-   3e35026: chore: include declaration map
",0,0,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-stack-depth-change%401.1.4,Thursday,17,FALSE,1,1,4,ScopedPackage
stackflow,167083828,@stackflow/plugin-renderer-web@1.1.10,@stackflow/plugin-renderer-web@1.1.10,2024-07-25T08:37:08Z,2024-07-26T02:37:08+09:00,FALSE,FALSE,github-actions[bot],41898282,"### Patch Changes

-   3e35026: chore: include declaration map
",0,0,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-renderer-web%401.1.10,Thursday,17,FALSE,1,1,10,ScopedPackage
stackflow,167083844,@stackflow/plugin-renderer-basic@1.1.10,@stackflow/plugin-renderer-basic@1.1.10,2024-07-25T08:37:14Z,2024-07-26T02:37:14+09:00,FALSE,FALSE,github-actions[bot],41898282,"### Patch Changes

-   3e35026: chore: include declaration map
",0,0,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-renderer-basic%401.1.10,Thursday,17,FALSE,1,1,10,ScopedPackage
